number,meters
250001112341,13.4
250001112401,4.5
250001112405,0
250001112414,3.2
250001112431,12.8
250001112434,12.8
250001112436,10.24
250001112438,12.8
250001112439,12.8
250001112443,12.8
250001112449,12.8
250001112450,9.9
250001112451,6.4
250001112453,10
250001112454,12.02
250001112455,5.6
250001112457,1
250001112458,12.8
250001112459,12.8
250001112460,7
250001112461,9.6
250001112466,1.5
250001112467,12.8
250001112468,12.8
250001112469,6.4
250001112470,13.4
250001112471,13.4
250001112472,3.2
250001112475,3
250001112476,2.4
250001112477,6.4
250001112478,12.8
250001112480,10.7
250001112481,9.6
250001112482,6.4
250001112483,7.68
250001112484,13.4
250001112485,9.6
250001112488,3.88
250001112489,6.4
250001112491,12.8
250001112494,8.53
250001112495,9.6
250001112501,4.5
250001112504,3.6
250001112505,12.8
250001112507,3.83
250001112511,7.5
250001112512,6.4
250001112513,1.5
250001112520,13.4
250001112532,12.8
250001112533,6.7
250001112534,9.6
250001112536,12.8
250001112537,6.7
250001112538,13.4
250001112539,12.8
250001112542,12.8
250001112543,12.8
250001112546,11.6
250001112561,7.5
250001112563,12.8
250001112564,12.8
250001112566,2.27
250001112567,12.8
250001112568,9.6
250001112569,6.4
250001112570,6.7
250001112571,12.8
250001112572,1.29
250001112574,3.95
250001112575,12.8
250001112576,12.8
250001112577,6.7
250001112578,10.88
250001112579,13
250001112580,9.6
250001112581,12.8
250001112582,2
250001112583,13.4
250001112584,12.3
250001112585,9.9
250001112586,6.4
250001112589,6.4
250001112591,2.4
250001112592,1
250001112593,12.8
250001112594,3.87
250001112595,6.4
250001112596,12.8
250001112597,13.4
250001112599,0.67
250001112601,0.5
250001112602,13
250001112603,12.8
250001112604,12.8
250001112605,4
250001112606,12.8
250001112607,12.8
250001112609,0
250001112613,9.6
250001112616,12.8
250001112618,9.4
250001112619,5.93
250001112620,6.4
250001112621,6
250001112622,12.8
250001112623,12.8
250001112624,12.8
250001112625,12.8
250001112626,4.27
250001112627,12.8
250001112628,6.5
250001112629,12.8
250001112631,12.8
250001112632,10.5
250001112633,12.8
250001112634,12.8
250001112635,7.9
250001112636,12.8
250001112637,5.95
250001112639,9.6
250001112640,12.8
250001112641,12.8
250001112642,12.8
250001112646,4
250001112647,12.8
250001112648,13
250001112649,4.5
250001112650,10.1
250001112651,9.6
250001112652,4.5
250001112654,9.6
250001112657,6.7
250001112658,7
250001112659,9.6
250001112660,6.14
250001112661,12.8
250001112662,13.4
250001112663,10.05
250001112664,8
250001112665,12.8
250001112666,8.4
250001112667,12
250001112668,12.8
250001112671,13.4
250001112672,12.8
250001112673,12.8
250001112675,9.28
250001112684,4.8
250001112685,3.2
250001112686,12.8
250001112687,8.53
250001112688,2.2
250001112689,3.75
250001112691,12.8
250001112692,12.8
250001112698,9.6
250001112699,13.4
250001112702,13.4
250001112703,13.4
250001112704,12.8
250001112705,12.8
250001112706,12.8
250001112707,10.24
250001112714,13.4
250001112716,12.8
250001112718,6.4
250001112721,6.7
250001112726,12
250001112728,3.4
250001112729,12.8
250001112731,5.38
250001112744,12.8
250001112745,3.58
250001112748,8
